Company Name: BLB Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Unique Organics Ltd, Sector: Trading, Industry: Trading,
Company Name: P. H. Capital Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Ovobel Foods Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Baba Food Processing India Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Transcorp International Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Orient Tradelink Ltd, Sector: Realty, Industry: Construction,
Company Name: Dutron Polymers Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: 3P Land Holdings Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: AKI India Ltd, Sector: Leather, Industry: Leather / Leather Products,
Company Name: KBS India Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Sangani Hospitals Ltd, Sector: Healthcare, Industry: Healthcare,
Company Name: Rasi Electrodes Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Electrodes - Welding Equipment,
Company Name: Mangalam Alloys Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: California Software Company Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Filtra Consultants & Engineers Ltd, Sector: Trading, Industry: Trading,
Company Name: Thakral Services (India) Ltd, Sector: Trading, Industry: Trading,
Company Name: Anjani Foods Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Ganga Forging Ltd, Sector: Castings, Forgings & Fastners, Industry: Castings & Forgings,
Company Name: Virat Leasing Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Aristo Bio-Tech & Lifescience Ltd, Sector: Agro Chemicals, Industry: Pesticides / Agrochemicals - Indian,
Company Name: Morgan Ventures Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Inter Globe Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Achyut Healthcare Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,
Company Name: Relicab Cable Manufacturing Ltd, Sector: Cables, Industry: Cables - Power,
Company Name: Super Crop Safe Ltd, Sector: Agro Chemicals, Industry: Pesticides / Agrochemicals - Indian,
Company Name: Twenty First Century Management Services Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Presstonic Engineering Ltd, Sector: Engineering, Industry: Engineering,
Company Name: Newmalayalam Steel Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: Banaras Beads Ltd, Sector: Glass & Glass Products, Industry: Glass & Glass Products,
Company Name: Silver Oak (India) Ltd, Sector: Alcoholic Beverages, Industry: Breweries & Distilleries,
Company Name: Kemistar Corporation Ltd, Sector: Trading, Industry: Trading,
Company Name: Arabian Petroleum Ltd, Sector: Chemicals, Industry: Chemicals,
Company Name: Biofil Chemicals & Pharmaceuticals Ltd, Sector: Pharmaceuticals, Industry: Pharmaceuticals - Indian - Formulations,
