Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
