BSE Symbol,NSE Symbol,Company Name          ,AUDITED,,,,,,,,,,LATEST QTR.,,,YEAR TO DATE,,,,,SHAREHOLDINGS,,,,MARKET RELATED DATA,,,,,Sector,*You will find NULL at many places. This for those companies that have announced their FY24 results and do not have YTD Sales or Net Profit. It is reflected in yearly numbers.
,,,Face,Month/,CEqt.,BkVal,Sales,NP,EPS,Div,D/E,RONW,LatQ,Sales,NP,Year/,Sales,Sales,NP,NP,Prom,. Pledged,Inst.,NoShold,Mkt.Cap.,Price,52 Week,Entprise,Trail.P/E,,
,,,Value,Year,Rs.Cr,Rs.,Rs.Cr.,Rs.Cr.,(Rs.),(Rs.),Ratio,(%),Year,Rs.Cr.,Rs.Cr,Month,Rs.Cr.,Growth,Rs.Cr.,Growth,(%),(%),(%),('000),Rs.Cr.,Rs.,H/L,Value,Ratio,,
,,,,,,,,,,,,,,,,,,,,,,,,,As on Date 6th Feb 2025,,,,,,
500325,RELIANCE,Reliance Industries Ltd.,10,2403,6766,398.9,914472,78633,62.14,10,0.41,8.46,2412,243865,21804,2412N,396645,1.33,24045,-22.08,50.13,0,38.31,1353.24,1729504.9,1281.55,3217.90/1202.10,1852247.85,28,Refineries,
532540,TCS,Tata Consultancy Services Ltd.,1,2403,362,263.25,240893,46099,120.33,73,0,59.6,2412,63973,12444,2412N,160717,6.53,36941,14.84,71.77,0,23.58,361.81,1480069.11,4082.7,4585.90/3593.30,1471137.13,30.58,IT - Software,
500180,HDFCBANK,HDFC Bank Ltd.,1,2403,759.69,626.94,283649.02,65446.5,80.05,19.5,1.51,16.97,2412,85040.17,18340.11,2412N,223056.93,19.37,49731.22,12.26,0,0,83.67,764.83,1329221.7,1744.7,1880.00/1363.45,1812691.58,20.07,Bank - Private,
532454,BHARTIARTL,Bharti Airtel Ltd.,5,2403,2876.6,170.63,149982.4,5848.6,8.67,8,1.25,5.56,2409,41473.3,3079.5,2409H,51901.6,13.05,4986.8,184.98,53.11,0,43.86,608.81,1011546.06,1619.55,1778.95/1098.00,1132586.02,137.45,Telecommunication - Service  Provider,
532174,ICICIBANK,ICICI Bank Ltd.,2,2403,1404.68,377.54,159515.92,45006.74,58.22,10,0.53,18.98,2412,47037.12,13828.61,2412N,120832.98,15.14,34597.41,14.63,0,0,90.67,705.95,895958.7,1272.65,1361.35/985.15,931214.66,19.78,Bank - Private,
500209,INFY,Infosys Ltd.,5,2403,2075,214.6,153670,26248,65.62,46,0,37.02,2412,41764,6822,2412N,102455,5.7,18939,0.99,14.43,0,71.59,415.23,787728.04,1915,2006.80/1359.10,773811.02,28.99,IT - Software,
500112,SBIN,State Bank Of India,1,2403,892.46,439.24,439188.51,68138.26,68.44,13.7,1.71,18.81,2409,121044.68,20219.62,2409H,225396.54,14.21,35366.6,13.3,57.43,0,35.2,892.46,683715.12,752.35,912.10/637.80,1056134.35,11.98,Bank - Public,
