BSE Symbol,NSE Symbol,Company Name          ,Sector
500325,RELIANCE,Reliance Industries Ltd.,Refineries
532540,TCS,Tata Consultancy Services Ltd.,IT - Software
500180,HDFCBANK,HDFC Bank Ltd.,Bank - Private
532454,BHARTIARTL,Bharti Airtel Ltd.,Telecommunication - Service  Provider
532174,ICICIBANK,ICICI Bank Ltd.,Bank - Private
500209,INFY,Infosys Ltd.,IT - Software
500112,SBIN,State Bank Of India,Bank - Public
500875,ITC,ITC Ltd.,Cigarettes/Tobacco
500696,HINDUNILVR,Hindustan Unilever Ltd.,Household & Personal Products
543526,LICI,Life Insurance Corporation of India,Insurance
532281,HCLTECH,HCL Technologies Ltd.,IT - Software
500510,LT,Larsen & Toubro Ltd.,Engineering - Construction
500034,BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
524715,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Pharmaceuticals & Drugs
500247,KOTAKBANK,Kotak Mahindra Bank Ltd.,Bank - Private
532500,MARUTI,Maruti Suzuki India Ltd.,Automobiles - Passenger Cars
500520,M&M,Mahindra & Mahindra Ltd.,Automobiles - Passenger Cars
500312,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Exploration
507685,WIPRO,Wipro Ltd.,IT - Software
532555,NTPC,NTPC Ltd.,Power Generation/Distribution
532538,ULTRACEMCO,Ultratech Cement Ltd.,Cement & Construction Materials
500114,TITAN,Titan Company Ltd.,Diamond  &  Jewellery
532215,AXISBANK,Axis Bank Ltd.,Bank - Private
532978,BAJAJFINSV,Bajaj Finserv Ltd.,Finance - Investment
532898,POWERGRID,Power Grid Corporation Of India Ltd.,Power Generation/Distribution
512599,ADANIENT,Adani Enterprises Ltd.,Trading
500570,TATAMOTORS,Tata Motors Ltd.,Automobiles-Trucks/Lcv
541154,HAL,Hindustan Aeronautics Ltd.,Defence
532921,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Port
532977,BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile Two & Three Wheelers
533278,COALINDIA,Coal India Ltd.,Mining & Minerals
540376,DMART,Avenue Supermarts Ltd.,Retailing
500228,JSWSTEEL,JSW Steel Ltd.,Steel & Iron Products
500820,ASIANPAINT,Asian Paints Ltd.,Paints
500790,NESTLEIND,Nestle India Ltd.,Consumer Food
543320,ZOMATO,Zomato Ltd.,e-Commerce
500550,SIEMENS,Siemens Ltd.,Electric Equipment
533096,ADANIPOWER,Adani Power Ltd.,Power Generation/Distribution
500251,TRENT,Trent Ltd.,Retailing
500188,HINDZINC,Hindustan Zinc Ltd.,Metal - Non Ferrous
500049,BEL,Bharat Electronics Ltd.,Defence
530965,IOC,Indian Oil Corporation Ltd.,Refineries
543257,IRFC,Indian Railway Finance Corporation Ltd.,Finance Term Lending
540180,VBL,Varun Beverages Ltd.,Consumer Food
532868,DLF,DLF Ltd.,Construction - Real Estate
500295,VEDL,Vedanta Ltd.,Metal - Non Ferrous
540005,LTIM,LTIMindtree Ltd.,IT - Software
543940,JIOFIN,JIO Financial Services Ltd.,Finance - NBFC
532755,TECHM,Tech Mahindra Ltd.,IT - Software
541450,ADANIGREEN,Adani Green Energy Ltd.,Power Generation/Distribution
500300,GRASIM,Grasim Industries Ltd.,Diversified
500470,TATASTEEL,Tata Steel Ltd.,Steel & Iron Products
539448,INDIGO,Interglobe Aviation Ltd.,Airlines
532488,DIVISLAB,Divi's Laboratories Ltd.,Pharmaceuticals & Drugs
540719,SBILIFE,SBI Life Insurance Company Ltd.,Insurance
500331,PIDILITIND,Pidilite Industries Ltd.,Chemicals
532810,PFC,Power Finance Corporation Ltd.,Finance Term Lending
500440,HINDALCO,Hindalco Industries Ltd.,Metal - Non Ferrous
505200,EICHERMOT,Eicher Motors Ltd.,Automobile Two & Three Wheelers
540777,HDFCLIFE,HDFC Life Insurance Company Ltd.,Insurance
500002,ABB,ABB India Ltd.,Electric Equipment
500425,AMBUJACEM,Ambuja Cements Ltd.,Cement & Construction Materials
500490,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Finance - NBFC
532955,RECLTD,REC Ltd.,Finance Term Lending
500547,BPCL,Bharat Petroleum Corporation Ltd.,Refineries
500825,BRITANNIA,Britannia Industries Ltd.,Consumer Food
532134,BANKBARODA,Bank Of Baroda,Bank - Public
532424,GODREJCP,Godrej Consumer Products Ltd.,Household & Personal Products
500087,CIPLA,Cipla Ltd.,Pharmaceuticals & Drugs
532155,GAIL,GAIL (India) Ltd.,Industrial  Gases & Fuels
500400,TATAPOWER,Tata Power Company Ltd.,Power Generation/Distribution
532461,PNB,Punjab National Bank,Bank - Public
500850,INDHOTEL,The Indian Hotels Company Ltd.,"Hotel, Resort & Restaurants"
500124,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals & Drugs
532343,TVSMOTOR,TVS Motor Company Ltd.,Automobile Two & Three Wheelers
543287,LODHA,Macrotech Developers Ltd.,Construction - Real Estate
500420,TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
532432,UNITDSPR,United Spirits Ltd.,Breweries & Distilleries
511243,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Finance - NBFC
543904,MANKIND,Mankind Pharma Ltd.,Pharmaceuticals & Drugs
543220,MAXHEALTH,Max Healthcare Institute Ltd.,Hospital & Healthcare Services
517334,MOTHERSON,Samvardhana Motherson International Ltd.,Auto Ancillary
508869,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Hospital & Healthcare Services
532321,ZYDUSLIFE,Zydus Lifesciences Ltd.,Pharmaceuticals & Drugs
511218,SHRIRAMFIN,Shriram Finance Ltd.,Finance - NBFC
500257,LUPIN,Lupin Ltd.,Pharmaceuticals & Drugs
500093,CGPOWER,CG Power and Industrial Solutions Ltd.,Electric Equipment
517354,HAVELLS,Havells India Ltd.,Electric Equipment
539254,ADANIENSOL,Adani Energy Solutions Ltd.,Power Generation/Distribution
533148,JSWENERGY,JSW Energy Ltd.,Power Generation/Distribution
500800,TATACONSUM,Tata Consumer Products Ltd.,Tea/Coffee
532388,IOB,Indian Overseas Bank,Bank - Public
534816,INDUSTOWER,Indus Towers Ltd.,Telecommunication - Service  Provider
532777,NAUKRI,Info Edge (India) Ltd.,BPO/ITeS
542652,POLYCAB,Polycab India Ltd.,Cable
543237,MAZDOCK,Mazagon Dock Shipbuilders Ltd.,Ship Building
500096,DABUR,Dabur India Ltd.,Household & Personal Products
540716,ICICIGI,ICICI Lombard General Insurance Company Ltd.,Insurance
532286,JINDALSTEL,Jindal Steel & Power Ltd.,Steel/Sponge Iron/Pig Iron
500387,SHREECEM,Shree Cement Ltd.,Cement & Construction Materials
500530,BOSCHLTD,Bosch Ltd.,Auto Ancillary
532483,CANBK,Canara Bank,Bank - Public
540699,DIXON,Dixon Technologies (India) Ltd.,Consumer Durables - Electronics
533398,MUTHOOTFIN,Muthoot Finance Ltd.,Finance - NBFC
533179,PERSISTENT,Persistent Systems Ltd.,IT - Software
540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Insurance
531642,MARICO,Marico Ltd.,Consumer Food
500116,IDBI,IDBI Bank Ltd.,Bank - Private
542649,RVNL,Rail Vikas Nigam Ltd.,Engineering - Construction
541729,HDFCAMC,HDFC Asset Management Company Ltd.,Finance - Asset Management
532725,SOLARINDS,Solar Industries India Ltd.,Chemicals
532477,UNIONBANK,Union Bank Of India,Bank - Public
532466,OFSS,Oracle Financial Services Software Ltd.,IT - Software
500182,HEROMOTOCO,Hero MotoCorp Ltd.,Automobile Two & Three Wheelers
500480,CUMMINSIND,Cummins India Ltd.,Diesel Engines
500104,HINDPETRO,Hindustan Petroleum Corporation Ltd.,Refineries
533098,NHPC,NHPC Ltd.,Power Generation/Distribution
532754,GMRAIRPORT,GMR Airports Ltd.,Airport Management Services
532187,INDUSINDBK,IndusInd Bank Ltd.,Bank - Private
500830,COLPAL,Colgate-Palmolive (India) Ltd.,Household & Personal Products
532667,SUZLON,Suzlon Energy Ltd.,Electric Equipment
503806,SRF,SRF Ltd.,Chemicals
543390,POLICYBZR,PB Fintech Ltd.,Fintech
533106,OIL,Oil India Ltd.,Oil Exploration
540755,GICRE,General Insurance Corporation of India,Insurance
512455,LLOYDSME,Lloyds Metals & Energy Ltd.,Steel/Sponge Iron/Pig Iron
542066,ATGL,Adani Total Gas Ltd.,Gas Transmission/Marketing
543066,SBICARD,SBI Cards And Payment Services Ltd.,Finance - NBFC
500103,BHEL,Bharat Heavy Electricals Ltd.,Engineering - Industrial Equipments
532814,INDIANB,Indian Bank,Bank - Public
532779,TORNTPOWER,Torrent Power Ltd.,Power Generation/Distribution
524804,AUROPHARMA,Aurobindo Pharma Ltd.,Pharmaceuticals & Drugs
